value,date
186343,01-04-1975
186513,01-05-1975
186758,01-06-1975
186963,01-07-1975
187185,01-08-1975
187383,01-09-1975
187577,01-10-1975
187761,01-11-1975
187921,01-12-1975
188085,01-01-1976
188239,01-02-1976
188371,01-03-1976
188518,01-04-1976
188675,01-05-1976
188851,01-06-1976
189025,01-07-1976
189223,01-08-1976
189430,01-09-1976
189634,01-10-1976
189824,01-11-1976
189996,01-12-1976
190169,01-01-1977
190334,01-02-1977
190494,01-03-1977
190674,01-04-1977
190849,01-05-1977
191036,01-06-1977
191229,01-07-1977
191448,01-08-1977
191678,01-09-1977
191894,01-10-1977
192099,01-11-1977
192293,01-12-1977
192467,01-01-1978
192619,01-02-1978
192782,01-03-1978
192981,01-04-1978
193166,01-05-1978
193369,01-06-1978
193575,01-07-1978
193795,01-08-1978
194043,01-09-1978
194261,01-10-1978
194467,01-11-1978
194660,01-12-1978
194855,01-01-1979
195043,01-02-1979
195225,01-03-1979
195428,01-04-1979
195622,01-05-1979
195833,01-06-1979
196045,01-07-1979
196285,01-08-1979
196537,01-09-1979
196791,01-10-1979
197017,01-11-1979
197233,01-12-1979
197441,01-01-1980
197646,01-02-1980
197839,01-03-1980
198051,01-04-1980
198241,01-05-1980
198512,01-06-1980
198716,01-07-1980
198943,01-08-1980
199176,01-09-1980
199407,01-10-1980
199602,01-11-1980
199769,01-12-1980
199927,01-01-1981
200061,01-02-1981
200214,01-03-1981
200393,01-04-1981
200565,01-05-1981
200751,01-06-1981
200956,01-07-1981
201177,01-08-1981
201402,01-09-1981
201631,01-10-1981
201812,01-11-1981
201979,01-12-1981
202147,01-01-1982
202303,01-02-1982
202460,01-03-1982
202635,01-04-1982
202799,01-05-1982
202982,01-06-1982
203178,01-07-1982
203382,01-08-1982
203589,01-09-1982
203806,01-10-1982
203983,01-11-1982
204150,01-12-1982
204312,01-01-1983
204463,01-02-1983
204603,01-03-1983
204771,01-04-1983
204912,01-05-1983
205108,01-06-1983
205297,01-07-1983
205491,01-08-1983
205691,01-09-1983
205897,01-10-1983
206068,01-11-1983
206225,01-12-1983
206375,01-01-1984
206517,01-02-1984
206665,01-03-1984
206829,01-04-1984
206983,01-05-1984
207150,01-06-1984
207338,01-07-1984
207539,01-08-1984
207750,01-09-1984
207966,01-10-1984
208149,01-11-1984
208306,01-12-1984
208458,01-01-1985
208592,01-02-1985
208722,01-03-1985
208890,01-04-1985
209064,01-05-1985
209260,01-06-1985
209456,01-07-1985
209669,01-08-1985
209888,01-09-1985
210103,01-10-1985
210297,01-11-1985
210467,01-12-1985
210628,01-01-1986
210778,01-02-1986
210918,01-03-1986
211084,01-04-1986
211261,01-05-1986
211449,01-06-1986
211641,01-07-1986
211844,01-08-1986
212058,01-09-1986
212264,01-10-1986
212457,01-11-1986
212610,01-12-1986
212774,01-01-1987
212920,01-02-1987
213069,01-03-1987
213242,01-04-1987
213413,01-05-1987
213598,01-06-1987
213794,01-07-1987
214002,01-08-1987
214213,01-09-1987
214436,01-10-1987
214629,01-11-1987
214799,01-12-1987
214971,01-01-1988
215121,01-02-1988
215269,01-03-1988
215435,01-04-1988
215600,01-05-1988
215796,01-06-1988
216011,01-07-1988
216230,01-08-1988
216454,01-09-1988
216683,01-10-1988
216874,01-11-1988
217046,01-12-1988
217214,01-01-1989
217368,01-02-1989
217520,01-03-1989
217711,01-04-1989
217896,01-05-1989
218104,01-06-1989
218332,01-07-1989
218563,01-08-1989
218806,01-09-1989
219057,01-10-1989
219271,01-11-1989
219469,01-12-1989
219649,01-01-1990
219817,01-02-1990
220002,01-03-1990
220296,01-04-1990
220555,01-05-1990
220839,01-06-1990
221122,01-07-1990
221429,01-08-1990
221741,01-09-1990
222047,01-10-1990
222336,01-11-1990
222616,01-12-1990
222879,01-01-1991
223125,01-02-1991
223362,01-03-1991
223633,01-04-1991
223903,01-05-1991
224197,01-06-1991
224483,01-07-1991
224797,01-08-1991
225116,01-09-1991
225425,01-10-1991
225708,01-11-1991
225954,01-12-1991
226204,01-01-1992
226438,01-02-1992
226693,01-03-1992
226982,01-04-1992
227275,01-05-1992
227579,01-06-1992
227884,01-07-1992
228222,01-08-1992
228538,01-09-1992
228851,01-10-1992
229137,01-11-1992
229403,01-12-1992
229669,01-01-1993
229909,01-02-1993
230142,01-03-1993
230404,01-04-1993
230670,01-05-1993
230953,01-06-1993
231245,01-07-1993
231556,01-08-1993
231857,01-09-1993
232153,01-10-1993
232415,01-11-1993
232664,01-12-1993
232909,01-01-1994
233113,01-02-1994
233342,01-03-1994
233621,01-04-1994
233867,01-05-1994
234142,01-06-1994
234426,01-07-1994
234714,01-08-1994
235007,01-09-1994
235291,01-10-1994
235549,01-11-1994
235794,01-12-1994
236034,01-01-1995
236260,01-02-1995
236485,01-03-1995
236745,01-04-1995
236988,01-05-1995
237260,01-06-1995
237547,01-07-1995
237833,01-08-1995
238142,01-09-1995
238446,01-10-1995
238705,01-11-1995
238933,01-12-1995
239141,01-01-1996
239354,01-02-1996
239585,01-03-1996
239843,01-04-1996
240098,01-05-1996
240376,01-06-1996
240657,01-07-1996
240966,01-08-1996
241274,01-09-1996
241571,01-10-1996
241868,01-11-1996
242115,01-12-1996
242350,01-01-1997
242575,01-02-1997
242811,01-03-1997
243073,01-04-1997
243332,01-05-1997
243612,01-06-1997
243902,01-07-1997
244227,01-08-1997
244543,01-09-1997
244842,01-10-1997
245116,01-11-1997
245362,01-12-1997
245616,01-01-1998
245828,01-02-1998
246037,01-03-1998
246294,01-04-1998
246554,01-05-1998
246826,01-06-1998
247105,01-07-1998
247408,01-08-1998
247704,01-09-1998
247993,01-10-1998
248267,01-11-1998
248516,01-12-1998
248780,01-01-1999
248982,01-02-1999
249188,01-03-1999
249441,01-04-1999
249707,01-05-1999
249991,01-06-1999
250285,01-07-1999
250592,01-08-1999
250893,01-09-1999
251193,01-10-1999
251461,01-11-1999
251706,01-12-1999
251966,01-01-2000
252180,01-02-2000
252399,01-03-2000
252643,01-04-2000
252867,01-05-2000
253116,01-06-2000
253375,01-07-2000
253643,01-08-2000
253922,01-09-2000
254191,01-10-2000
254443,01-11-2000
254686,01-12-2000
254910,01-01-2001
255127,01-02-2001
255340,01-03-2001
255571,01-04-2001
255800,01-05-2001
256052,01-06-2001
256299,01-07-2001
256560,01-08-2001
256833,01-09-2001
257088,01-10-2001
257331,01-11-2001
257560,01-12-2001
257778,01-01-2002
257984,01-02-2002
258180,01-03-2002
258387,01-04-2002
258613,01-05-2002
258854,01-06-2002
259095,01-07-2002
259350,01-08-2002
259608,01-09-2002
259860,01-10-2002
260096,01-11-2002
260303,01-12-2002
260508,01-01-2003
260704,01-02-2003
260901,01-03-2003
261115,01-04-2003
261336,01-05-2003
261574,01-06-2003
261810,01-07-2003
262062,01-08-2003
262311,01-09-2003
262564,01-10-2003
262797,01-11-2003
262998,01-12-2003
263182,01-01-2004
263358,01-02-2004
263551,01-03-2004
263769,01-04-2004
263987,01-05-2004
264213,01-06-2004
264453,01-07-2004
264709,01-08-2004
264961,01-09-2004
265220,01-10-2004
265456,01-11-2004
265684,01-12-2004
265904,01-01-2005
266095,01-02-2005
266277,01-03-2005
266480,01-04-2005
266694,01-05-2005
266926,01-06-2005
267176,01-07-2005
267430,01-08-2005
267697,01-09-2005
267962,01-10-2005
268197,01-11-2005
268421,01-12-2005
268637,01-01-2006
268844,01-02-2006
269050,01-03-2006
269271,01-04-2006
269486,01-05-2006
269729,01-06-2006
269986,01-07-2006
270253,01-08-2006
270544,01-09-2006
270825,01-10-2006
271084,01-11-2006
271330,01-12-2006
271564,01-01-2007
271792,01-02-2007
272011,01-03-2007
272244,01-04-2007
272473,01-05-2007
272729,01-06-2007
272994,01-07-2007
273257,01-08-2007
273536,01-09-2007
273797,01-10-2007
274044,01-11-2007
274277,01-12-2007
274496,01-01-2008
274701,01-02-2008
274897,01-03-2008
275107,01-04-2008
275313,01-05-2008
275546,01-06-2008
275788,01-07-2008
276035,01-08-2008
276299,01-09-2008
276544,01-10-2008
276776,01-11-2008
276994,01-12-2008
277198,01-01-2009
277392,01-02-2009
277578,01-03-2009
277777,01-04-2009
277974,01-05-2009
278196,01-06-2009
278429,01-07-2009
278675,01-08-2009
278936,01-09-2009
279179,01-10-2009
279408,01-11-2009
279623,01-12-2009
